"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.275,0.364,-0.429919565349457,4.59084189116533,0.9043,0.538
0.002,0.049,-2.790958886463,1.29274595165818,0.0033996600339966,0.000999000999000999
0.088,0.416,-0.320377431532459,3.32747647489795,0.6854,0.000999000999000999
0.007,0.182,-0.191670917050464,3.2840006426381,0.8925,0.65
0.062,0.518,0.877910045204378,6.42956437207563,0.0241,0.017982017982018
0.001,0.001,-0.711730648184622,5.93247266324919,0.0304,0.316
0.016,0.368,1.05521871577534,6.14514331077215,0.1111,0.157
0.001,0.001,0.52697224320104,8.41931022616291,0.001999800019998,0.046953046953047
0.002,0.372,-2.22228381572892,3.90022839797218,0.5537,0.00999000999000999
0.284,0.247,1.74257981404942,4.92790622029058,0.0001999800019998,0.000999000999000999
0.288,0.377,-0.397834327112578,2.99489752988714,0.1625,0.000999000999000999
1,0.023,0.863073941368045,5.50573824918953,0.0002999700029997,0.000999000999000999
0.012,0.498,-0.860970086436261,2.96079575617603,0.0007999200079992,0.000999000999000999
0.002,0.55,-1.16550962224156,1.50939940977758,0.0051994800519948,0.001998001998002
0.019,0.083,-1.19789496530409,3.19052586758843,9.99900009999e-05,0.000999000999000999
0.774,0.136,-2.21961401513224,1.24739795502602,0.0528,0.000999000999000999
0.001,0.006,-0.516179357829928,6.39006241505927,0.6452,0.02997002997003
0.04,1,0.62043039130225,5.4108979185553,0.9468,0.448
0.001,0.013,0.109341511473388,6.29573795518171,0.0719,0.047952047952048
0.003,0.199,0.603637308868535,4.49048016777353,0.0507,0.000999000999000999
0.048,0.299,-0.696355627037733,2.34785995968322,0.012,0.000999000999000999
0.001,0.08,-0.00985464477450662,7.21239650017902,0.8752,0.798
0.94,0.889,-1.04932699306796,3.37347974166778,0.0002999700029997,0.000999000999000999
0.053,0.938,0.487716869782096,5.54074344879907,0.301,0.309
0.181,0.369,-1.94090182071641,1.84982524032105,0.6083,0.000999000999000999
0.373,0.743,-0.150738973865913,3.59378022059463,0.0701,0.00799200799200799
0.304,0.603,-3.16612505430856,3.18385969115669,0.9997,0.232
0.001,0.001,-21.5390367190244,-13.8896758223898,0.0001999800019998,0.02997002997003
0.127,0.383,-0.152340469153725,4.93619697262811,0.0005999400059994,0.000999000999000999
0.001,0.001,-14.5083028920399,-1.84615880819101,0.000999900009999,0.004995004995005
0.077,0.608,1.74536521662322,6.48846696873899,0.002999700029997,0.183
0.001,0.002,-1.10618185085873,8.82159297792179,0.1435,0.002997002997003
0.242,0.942,0.573751859778904,5.40631063349961,0.9925,0.000999000999000999
0.001,0.003,-3.12498086035301,0.854281689792595,0.0319,0.000999000999000999
0.001,0.281,-3.17233340206483,2.45282391056573,0.0004999500049995,0.000999000999000999
0.09,0.903,-1.1089673046848,3.2862837388678,0.9063,0.000999000999000999
0.001,0.001,-18.8617141531978,-10.3174561546356,0.3298,0.909
0.113,0.622,2.72737478490361,7.17782914367132,0.0002999700029997,0.00999000999000999
0.006,0.086,0.385372054965816,4.47618405291019,0.0012998700129987,0.003996003996004
0.008,0.343,-2.39934798780172,3.76250508075385,0.2757,0.0889110889110889
0.004,0.074,-2.48282196632183,4.58524264132973,0.2315,0.0579420579420579
0.001,0.351,-13.2349375035644,-1.01885942638779,0.0308,0.000999000999000999
0.083,0.677,-0.4930528609948,4.46617073995535,0.271,0.000999000999000999
1,0.015,5.06783145589067,12.3180885221145,0.2883,0.495
0.002,0.073,0.607302324507908,5.93886301615402,0.5353,0.101
0.156,0.543,-0.873449459635061,3.44046867637547,0.0030996900309969,0.000999000999000999
0.058,0.424,-0.725726839661166,2.91667887116096,0.1621,0.000999000999000999
0.001,0.151,2.12680025257755,7.75806238494317,0.000999900009999,0.015984015984016
0.007,0.299,-0.670490446434154,2.4603839410361,0.9997,0.001998001998002
0.001,0.013,0.109341511473388,6.29573795518171,0.0719,0.047952047952048
0.003,0.199,0.603637308868535,4.49048016777353,0.0507,0.000999000999000999
0.048,0.299,-0.696355627037733,2.34785995968322,0.012,0.000999000999000999
0.001,0.08,-0.00985464477450662,7.21239650017902,0.8752,0.798
0.94,0.889,-1.04932699306796,3.37347974166778,0.0002999700029997,0.000999000999000999
0.053,0.938,0.487716869782096,5.54074344879907,0.301,0.309
0.181,0.369,-1.94090182071641,1.84982524032105,0.6083,0.000999000999000999
0.373,0.743,-0.150738973865913,3.59378022059463,0.0701,0.00799200799200799
0.304,0.603,-3.16612505430856,3.18385969115669,0.9997,0.232
0.001,0.001,-21.5390367190244,-13.8896758223898,0.0001999800019998,0.02997002997003
0.127,0.383,-0.152340469153725,4.93619697262811,0.0005999400059994,0.000999000999000999
0.001,0.001,-14.5083028920399,-1.84615880819101,0.000999900009999,0.004995004995005
0.077,0.608,1.74536521662322,6.48846696873899,0.002999700029997,0.183
0.001,0.002,-1.10618185085873,8.82159297792179,0.1435,0.002997002997003
0.242,0.942,0.573751859778904,5.40631063349961,0.9925,0.000999000999000999
0.001,0.003,-3.12498086035301,0.854281689792595,0.0319,0.000999000999000999
0.001,0.281,-3.17233340206483,2.45282391056573,0.0004999500049995,0.000999000999000999
0.09,0.903,-1.1089673046848,3.2862837388678,0.9063,0.000999000999000999
0.001,0.001,-18.8617141531978,-10.3174561546356,0.3298,0.909
0.113,0.622,2.72737478490361,7.17782914367132,0.0002999700029997,0.00999000999000999
0.006,0.086,0.385372054965816,4.47618405291019,0.0012998700129987,0.003996003996004
0.008,0.343,-2.39934798780172,3.76250508075385,0.2757,0.0889110889110889
0.004,0.074,-2.48282196632183,4.58524264132973,0.2315,0.0579420579420579
0.001,0.351,-13.2349375035644,-1.01885942638779,0.0308,0.000999000999000999
0.083,0.677,-0.4930528609948,4.46617073995535,0.271,0.000999000999000999
1,0.015,5.06783145589067,12.3180885221145,0.2883,0.495
0.002,0.073,0.607302324507908,5.93886301615402,0.5353,0.101
0.156,0.543,-0.873449459635061,3.44046867637547,0.0030996900309969,0.000999000999000999
0.058,0.424,-0.725726839661166,2.91667887116096,0.1621,0.000999000999000999
0.001,0.151,2.12680025257755,7.75806238494317,0.000999900009999,0.015984015984016
0.007,0.299,-0.670490446434154,2.4603839410361,0.9997,0.001998001998002
0.001,0.013,0.109341511473388,6.29573795518171,0.0719,0.047952047952048
0.003,0.199,0.603637308868535,4.49048016777353,0.0507,0.000999000999000999
0.048,0.299,-0.696355627037733,2.34785995968322,0.012,0.000999000999000999
0.001,0.08,-0.00985464477450662,7.21239650017902,0.8752,0.798
0.94,0.889,-1.04932699306796,3.37347974166778,0.0002999700029997,0.000999000999000999
0.053,0.938,0.487716869782096,5.54074344879907,0.301,0.309
0.181,0.369,-1.94090182071641,1.84982524032105,0.6083,0.000999000999000999
0.373,0.743,-0.150738973865913,3.59378022059463,0.0701,0.00799200799200799
0.304,0.603,-3.16612505430856,3.18385969115669,0.9997,0.232
0.001,0.001,-21.5390367190244,-13.8896758223898,0.0001999800019998,0.02997002997003
0.127,0.383,-0.152340469153725,4.93619697262811,0.0005999400059994,0.000999000999000999
0.001,0.001,-14.5083028920399,-1.84615880819101,0.000999900009999,0.004995004995005
0.077,0.608,1.74536521662322,6.48846696873899,0.002999700029997,0.183
0.001,0.002,-1.10618185085873,8.82159297792179,0.1435,0.002997002997003
0.242,0.942,0.573751859778904,5.40631063349961,0.9925,0.000999000999000999
0.001,0.003,-3.12498086035301,0.854281689792595,0.0319,0.000999000999000999
0.001,0.281,-3.17233340206483,2.45282391056573,0.0004999500049995,0.000999000999000999
0.09,0.903,-1.1089673046848,3.2862837388678,0.9063,0.000999000999000999
0.001,0.001,-18.8617141531978,-10.3174561546356,0.3298,0.909
0.113,0.622,2.72737478490361,7.17782914367132,0.0002999700029997,0.00999000999000999
